===================================
 SwinUNETR Training Started
===================================
データリストを読み込み中...
--- SwinUNETR 訓練開始 (Device: cuda) ---
19/20 - batch 5: loss = 0.0569
19/20 - batch 10: loss = 0.2791
19/20 - batch 15: loss = 0.5034
19/20 - batch 20: loss = 0.2910
19/20 - batch 25: loss = 0.4041
19/20 - batch 30: loss = 0.2852
19/20 - batch 35: loss = 0.2743
19/20 - batch 40: loss = 0.3003
Epoch 19 終了: Average Loss = 0.2859
20/20 - batch 5: loss = 0.5043
20/20 - batch 10: loss = 0.0483
20/20 - batch 15: loss = 0.1986
20/20 - batch 20: loss = 0.2739
20/20 - batch 25: loss = 0.2649
20/20 - batch 30: loss = 0.2905
20/20 - batch 35: loss = 0.0653
20/20 - batch 40: loss = 0.1744
Epoch 20 終了: Average Loss = 0.2291
学習済みモデルを保存しました: /home/s2610100/m-thesis/outputs/spleen_model_swin.pth
===================================
 SwinUNETR Inference & Evaluation Started
===================================
--- SwinUNETR 推論を開始します... (Device: cuda) ---

==============================
SwinUNETR 平均 Dice Score: 0.3681
==============================
===================================
 Pipeline Finished Successfully
===================================
